client_id,client_name,year_month,total,mom_delta,mom_growth_pct
C02145,Zenith Supply,2024-01,14832.869999999999,0.0,0.0
C02145,Zenith Supply,2024-02,94097.94,79265.07,534.3879505449721
C02145,Zenith Supply,2024-03,87691.18000000001,-6406.759999999995,-6.808608137436368
C02145,Zenith Supply,2024-04,42984.85,-44706.33000000001,-50.98155823652961
C02145,Zenith Supply,2024-05,75297.15,32312.299999999996,75.17136851704728
C02145,Zenith Supply,2024-06,88237.5,12940.350000000006,17.185710216123717
C02145,Zenith Supply,2024-07,108628.90000000001,20391.40000000001,23.10967559144357
C02145,Zenith Supply,2024-08,37589.409999999996,-71039.49000000002,-65.3964920937246
C02145,Zenith Supply,2024-09,52150.4,14560.990000000005,38.73694745408349
C02145,Zenith Supply,2024-10,61686.229999999996,9535.829999999994,18.28524805178866
C02145,Zenith Supply,2024-11,33091.840000000004,-28594.389999999992,-46.354575405240354
C02145,Zenith Supply,2024-12,47353.159999999996,14261.319999999992,43.096183228252016
C02145,Zenith Supply,2025-01,89384.56,42031.4,88.76155255530993
C02145,Zenith Supply,2025-02,43004.55,-46380.009999999995,-51.88816726289194
C02145,Zenith Supply,2025-03,79574.20999999999,36569.65999999999,85.03672285839518
C02145,Zenith Supply,2025-04,127747.82999999999,48173.619999999995,60.53923752431849
C02145,Zenith Supply,2025-05,88810.78,-38937.04999999999,-30.47961754027445
C02145,Zenith Supply,2025-06,45967.78,-42843.0,-48.240765366546725
C02145,Zenith Supply,2025-07,68981.61,23013.83,50.0651325776446
C02145,Zenith Supply,2025-08,61371.87,-7609.739999999998,-11.031548843235173
C02145,Zenith Supply,2025-09,42248.36,-19123.510000000002,-31.160057531243545
C02145,Zenith Supply,2025-10,49853.02,7604.659999999996,17.99989396038093
C02145,Zenith Supply,2025-11,41048.899999999994,-8804.120000000003,-17.660153788075426
C02145,Zenith Supply,2025-12,29011.230000000003,-12037.669999999991,-29.325195072218722
C03366,Umbrella Industries,2024-01,53414.72,,
C03366,Umbrella Industries,2024-02,88713.46,35298.740000000005,66.08429286908179
C03366,Umbrella Industries,2024-03,130647.87,41934.40999999999,47.26950115574342
C03366,Umbrella Industries,2024-04,44984.71,-85663.16,-65.56797290304081
C03366,Umbrella Industries,2024-05,65961.47,20976.760000000002,46.630866354367974
