client_id,client_name,old_total,discounted_total,savings,percent_savings
C25055,Stark Partners,2244869.53,1644701.863,600167.6669999999,26.735080100623932
C94736,Red Logistics,2218130.71,1609400.767,608729.943,27.44337564308823
C14175,Wayne Group,2151906.65,1559108.679,592797.9709999999,27.54756908251573
C03366,Umbrella Industries,2108671.57,1538301.968,570369.6019999997,27.048764260619297
C77726,Nimbus Holdings,2096498.84,1531869.98,564628.8600000001,26.931990098310767
C60889,Wonka Llc,2085267.54,1527715.578,557551.962,26.737670409428617
C99892,Wayne Freight,2062937.31,1523763.5420000001,539173.7679999999,26.136216810194774
C63096,Initech Freight,2081632.64,1515381.665,566250.9749999999,27.20225289126903
C11386,Vector Llc,2022832.83,1475258.564,547574.2660000001,27.069674660164576
C63250,Vertex Supply,2018888.92,1469857.3630000001,549031.5569999998,27.19473823255218
C97785,Massive Supply,1996901.51,1467296.014,529605.496,26.52136288884874
C91097,Tyrell Freight,2006007.96,1462068.659,543939.301,27.115510598472397
C92842,Tyrell Industries,1962423.79,1455402.108,507021.68200000003,25.836503031794166
C81739,Massive Partners,1981579.48,1455321.575,526257.905,26.55749669955202
C49018,Green Freight,1976636.91,1439823.807,536813.1029999999,27.15790139727786
C70464,Hooli Supply,1930624.11,1428759.7650000001,501864.345,25.99492787852939
C29210,Massive Group,1906132.54,1404267.795,501864.7450000001,26.328953232181856
C83350,Stark Group,1910024.55,1385550.484,524474.0660000001,27.45902224136334
C51553,Hooli Logistics,1907982.72,1374738.297,533244.423,27.948074026582375
C64279,Green Logistics,1882237.58,1370780.028,511457.55200000014,27.172847754957697
C14637,Hooli Supply,1879966.78,1366647.254,513319.52600000007,27.304712586463896
C57382,Vector Logistics,1911047.49,1364677.529,546369.9609999999,28.5900776332879
C93089,Blue Supply,1865644.27,1359047.877,506596.3929999999,27.153965048224325
C98399,Wayne Group,1848233.98,1344664.083,503569.8969999999,27.246003614758767
