client_id,client_name,invoice_id,start_date,total,shipment_type
C97125,Blue Industries,INV-000TWC2,2024-12-25,39609.93,FREIGHT
C77577,Zenith Holdings,INV-006BFKZ,2025-06-11,10760.03,EXPRESS
C14175,Wayne Group,INV-00928TF,2024-09-21,1157.15,GROUND
C99808,Blue Co,INV-00CQ8TW,2025-07-16,15300.27,EXPRESS
C60889,Wonka Llc,INV-00EVKGS,2025-08-02,3320.52,GROUND
C87356,Zenith Logistics,INV-00K4FXR,2024-02-04,38233.65,FREIGHT
C16180,Blue Enterprises,INV-00NSK2S,2024-04-13,7574.93,2DAY
C20405,Initech Supply,INV-00O80TI,2025-04-02,8628.62,2DAY
C83350,Stark Group,INV-00Q8EKE,2025-01-07,5479.4,2DAY
C43677,Apex Group,INV-00SKSIR,2025-10-19,17668.48,EXPRESS
C09581,Wonka Supply,INV-00WB29Y,2024-04-24,3100.81,GROUND
C15978,Vector Freight,INV-012IUBZ,2024-07-17,14507.54,EXPRESS
C16655,Hooli Co,INV-014V728,2024-04-04,2285.19,GROUND
C56067,Hooli Logistics,INV-015N21S,2025-03-05,23500.28,FREIGHT
C70464,Hooli Supply,INV-016TUFN,2025-09-11,5747.03,EXPRESS
C70464,Hooli Supply,INV-0178SW6,2025-12-18,4498.97,GROUND
C28306,Tyrell Llc,INV-01DLG5Z,2025-02-04,8843.36,EXPRESS
C83948,Wayne Holdings,INV-01J7QIB,2024-02-15,3593.61,2DAY
C21531,Green Llc,INV-01K81UR,2025-05-01,1455.71,GROUND
C86029,Acme Industries,INV-01NLD79,2024-04-16,3925.88,GROUND
C82971,Massive Co,INV-01YB2IU,2025-08-18,3490.8,GROUND
C98399,Wayne Group,INV-025ZZ75,2024-09-13,11464.23,EXPRESS
C22659,Tyrell Partners,INV-0278D1L,2024-04-03,10561.46,2DAY
C09581,Wonka Supply,INV-029RN24,2024-02-04,11030.65,EXPRESS
C63250,Vertex Supply,INV-02ATR9I,2024-03-01,4464.43,GROUND
C35443,Nimbus Group,INV-02B05UX,2024-12-18,4687.16,GROUND
C57382,Vector Logistics,INV-02DDRXX,2024-07-30,23402.98,FREIGHT
C08929,Nimbus Industries,INV-02L6E6L,2025-12-13,10073.96,2DAY
C20405,Initech Supply,INV-02TUXRV,2024-07-05,6306.6,EXPRESS
C21531,Green Llc,INV-02UWYKF,2025-09-02,2861.25,GROUND
C86178,Massive Co,INV-02ZUSE0,2025-06-13,8256.5,EXPRESS
C97125,Blue Industries,INV-036NSZV,2024-05-17,2604.43,GROUND
C10456,Blue Partners,INV-03BX0AP,2025-12-28,6672.59,EXPRESS
C86178,Massive Co,INV-03DMC50,2024-03-26,2197.49,GROUND
C91097,Tyrell Freight,INV-03DXHBN,2025-03-08,10097.55,EXPRESS
C17172,Apex Freight,INV-03ES9LV,2025-06-28,6818.12,2DAY
C91097,Tyrell Freight,INV-03FOKF4,2025-12-16,31076.84,FREIGHT
C47375,Vertex Partners,INV-03HWZRX,2024-08-12,1346.95,GROUND
C57382,Vector Logistics,INV-03KPUQT,2025-07-23,26384.22,FREIGHT
C29210,Massive Group,INV-03LR36F,2024-01-30,7596.35,EXPRESS
C97125,Blue Industries,INV-03OAIWL,2024-04-26,19150.82,EXPRESS
C91097,Tyrell Freight,INV-03OWJBA,2024-07-13,20034.84,EXPRESS
C14175,Wayne Group,INV-03SATLR,2025-09-24,17155.89,EXPRESS
C51553,Hooli Logistics,INV-03Y6QOX,2025-12-11,2373.1,2DAY
C81739,Massive Partners,INV-047YS10,2025-01-03,5029.24,EXPRESS
C94929,Green Co,INV-04G5RN4,2024-01-11,6789.12,2DAY
C87356,Zenith Logistics,INV-04JBJJ6,2025-08-30,8226.08,EXPRESS
C17172,Apex Freight,INV-04LBUL2,2024-04-26,4366.95,GROUND
C72495,Umbrella Enterprises,INV-04MK8E1,2025-12-25,4797.52,GROUND
C29210,Massive Group,INV-04NIWOU,2024-06-29,20692.28,EXPRESS
C99808,Blue Co,INV-04NY82Y,2025-06-06,45229.61,FREIGHT
C03366,Umbrella Industries,INV-04RRO5Y,2025-06-07,7981.44,2DAY
C10456,Blue Partners,INV-04SKWT0,2025-09-18,9897.03,EXPRESS
C17754,Vector Co,INV-050OOLK,2024-01-18,4697.49,GROUND
C72495,Umbrella Enterprises,INV-057KMJG,2025-09-06,4669.69,GROUND
C57382,Vector Logistics,INV-05BRSFZ,2024-12-08,7351.03,EXPRESS
C70464,Hooli Supply,INV-05IP7S7,2024-07-16,3618.24,GROUND
C98399,Wayne Group,INV-05K9AA2,2024-07-16,2020.58,GROUND
C57382,Vector Logistics,INV-05P869K,2025-06-16,8877.24,2DAY
C14637,Hooli Supply,INV-066I3N9,2024-03-29,6727.81,2DAY
C49018,Green Freight,INV-06AZ8MT,2025-11-07,1560.46,GROUND
C17754,Vector Co,INV-06H6L96,2025-06-13,10224.78,2DAY
C83350,Stark Group,INV-06JZUK2,2025-06-25,17066.19,EXPRESS
C47375,Vertex Partners,INV-06LSBCI,2024-06-16,3850.96,GROUND
C15499,Zenith Holdings,INV-06S4G4W,2025-05-01,9015.04,2DAY
C98399,Wayne Group,INV-06Z2XJQ,2024-04-08,12200.26,EXPRESS
C25055,Stark Partners,INV-076LXTE,2024-03-30,2571.7,2DAY
C49018,Green Freight,INV-076RK7T,2025-11-14,1583.58,GROUND
C22659,Tyrell Partners,INV-07B4OIH,2024-12-12,1310.18,GROUND
C82971,Massive Co,INV-07BIYG8,2025-11-10,1789.94,GROUND
C99808,Blue Co,INV-07EKL1H,2025-10-10,16164.82,FREIGHT
C14175,Wayne Group,INV-07K395A,2025-01-16,4621.94,GROUND
C33266,Hooli Enterprises,INV-07P18OQ,2025-11-26,2716.36,GROUND
C22659,Tyrell Partners,INV-07WK009,2025-10-07,7092.79,2DAY
C02145,Zenith Supply,INV-07XZ7KW,2025-09-06,10751.11,2DAY
C16655,Hooli Co,INV-082UFAF,2024-10-18,3529.1,GROUND
C97785,Massive Supply,INV-08KB57J,2024-03-31,3221.41,GROUND
C63096,Initech Freight,INV-08LQKDZ,2025-09-16,4532.99,GROUND
C57382,Vector Logistics,INV-08VRVKN,2024-12-08,3337.08,2DAY
C34523,Stark Enterprises,INV-0904RJH,2025-01-21,3644.27,GROUND
C17172,Apex Freight,INV-096R3GT,2025-10-04,4358.43,GROUND
C17754,Vector Co,INV-097MPFY,2025-03-10,1453.46,GROUND
C16655,Hooli Co,INV-09B3BU7,2025-08-29,5832.57,EXPRESS
C60889,Wonka Llc,INV-09KNJAL,2025-02-12,3098.58,GROUND
C83350,Stark Group,INV-09M7MQI,2025-09-17,5444.06,2DAY
C81739,Massive Partners,INV-0A0356E,2024-02-16,14961.52,EXPRESS
C47375,Vertex Partners,INV-0A1TAGX,2024-12-07,18897.95,EXPRESS
C98399,Wayne Group,INV-0A2EST3,2024-11-15,16058.98,EXPRESS
C77726,Nimbus Holdings,INV-0A44D23,2024-10-19,6622.11,EXPRESS
C14175,Wayne Group,INV-0AGDBK4,2025-04-19,15927.29,FREIGHT
C49018,Green Freight,INV-0B0N31Q,2024-01-28,13087.15,EXPRESS
C11386,Vector Llc,INV-0B3WYJJ,2025-04-21,11463.06,EXPRESS
C15499,Zenith Holdings,INV-0B4CAEV,2025-06-19,1402.03,GROUND
C22659,Tyrell Partners,INV-0B7Q9VU,2024-05-18,4142.25,GROUND
C98672,Stark Freight,INV-0B8T1ZT,2025-06-03,2908.26,2DAY
C87356,Zenith Logistics,INV-0BBNA37,2025-07-14,5266.95,GROUND
C72495,Umbrella Enterprises,INV-0BETCIE,2024-05-03,4003.79,GROUND
C29210,Massive Group,INV-0BJAPZM,2025-10-14,4910.39,GROUND
C81739,Massive Partners,INV-0BO3US4,2025-06-28,12742.95,FREIGHT
C28306,Tyrell Llc,INV-0BOVN40,2024-09-25,2109.1,GROUND
C91097,Tyrell Freight,INV-0BS9F9B,2025-06-16,6384.53,2DAY
C92842,Tyrell Industries,INV-0BVLTKF,2024-09-16,4962.41,GROUND
C81739,Massive Partners,INV-0BWTQ5T,2024-03-07,3241.73,GROUND
C25055,Stark Partners,INV-0BWUOE9,2024-06-08,1705.41,GROUND
C24911,Quantum Freight,INV-0C0I4M6,2025-11-23,3700.52,GROUND
C29210,Massive Group,INV-0C5MPDQ,2025-10-19,2201.02,GROUND
C97125,Blue Industries,INV-0C8FYUM,2024-02-24,3467.6,GROUND
