invoice_id,client_id,start_date,subtotal,tax,total,shipment_type
INV-000TWC2,C97125,2024-12-25,36675.86,2934.07,39609.93,FREIGHT
INV-006BFKZ,C77577,2025-06-11,10247.65,512.38,10760.03,EXPRESS
INV-00928TF,C14175,2024-09-21,1157.15,0.0,1157.15,GROUND
INV-00CQ8TW,C99808,2025-07-16,15300.27,0.0,15300.27,EXPRESS
INV-00EVKGS,C60889,2025-08-02,3162.4,158.12,3320.52,GROUND
INV-00K4FXR,C87356,2024-02-04,34757.86,3475.79,38233.65,FREIGHT
INV-00NSK2S,C16180,2024-04-13,7214.22,360.71,7574.93,2DAY
INV-00O80TI,C20405,2025-04-02,8217.73,410.89,8628.62,2DAY
INV-00Q8EKE,C83350,2025-01-07,5479.4,0.0,5479.4,2DAY
INV-00SKSIR,C43677,2025-10-19,16359.7,1308.78,17668.48,EXPRESS
INV-00WB29Y,C09581,2024-04-24,2818.92,281.89,3100.81,GROUND
INV-012IUBZ,C15978,2024-07-17,13188.67,1318.87,14507.54,EXPRESS
INV-014V728,C16655,2024-04-04,2176.37,108.82,2285.19,GROUND
INV-015N21S,C56067,2025-03-05,22381.22,1119.06,23500.28,FREIGHT
INV-016TUFN,C70464,2025-09-11,5321.32,425.71,5747.03,EXPRESS
INV-0178SW6,C70464,2025-12-18,4284.73,214.24,4498.97,GROUND
INV-01DLG5Z,C28306,2025-02-04,8422.25,421.11,8843.36,EXPRESS
INV-01J7QIB,C83948,2024-02-15,3593.61,0.0,3593.61,2DAY
INV-01K81UR,C21531,2025-05-01,1455.71,0.0,1455.71,GROUND
INV-01NLD79,C86029,2024-04-16,3925.88,0.0,3925.88,GROUND
INV-01YB2IU,C82971,2025-08-18,3490.8,0.0,3490.8,GROUND
INV-025ZZ75,C98399,2024-09-13,10615.03,849.2,11464.23,EXPRESS
INV-0278D1L,C22659,2024-04-03,9601.33,960.13,10561.46,2DAY
INV-029RN24,C09581,2024-02-04,10027.86,1002.79,11030.65,EXPRESS
INV-02ATR9I,C63250,2024-03-01,4133.73,330.7,4464.43,GROUND
INV-02B05UX,C35443,2024-12-18,4463.96,223.2,4687.16,GROUND
INV-02DDRXX,C57382,2024-07-30,21669.43,1733.55,23402.98,FREIGHT
INV-02L6E6L,C08929,2025-12-13,9594.25,479.71,10073.96,2DAY
INV-02TUXRV,C20405,2024-07-05,6006.29,300.31,6306.6,EXPRESS
INV-02UWYKF,C21531,2025-09-02,2861.25,0.0,2861.25,GROUND
INV-02ZUSE0,C86178,2025-06-13,8256.5,0.0,8256.5,EXPRESS
INV-036NSZV,C97125,2024-05-17,2480.41,124.02,2604.43,GROUND
INV-03BX0AP,C10456,2025-12-28,6354.85,317.74,6672.59,EXPRESS
INV-03DMC50,C86178,2024-03-26,2197.49,0.0,2197.49,GROUND
INV-03DXHBN,C91097,2025-03-08,9349.58,747.97,10097.55,EXPRESS
INV-03ES9LV,C17172,2025-06-28,6313.07,505.05,6818.12,2DAY
INV-03FOKF4,C91097,2025-12-16,31076.84,0.0,31076.84,FREIGHT
INV-03HWZRX,C47375,2024-08-12,1282.81,64.14,1346.95,GROUND
INV-03KPUQT,C57382,2025-07-23,23985.65,2398.57,26384.22,FREIGHT
INV-03LR36F,C29210,2024-01-30,7596.35,0.0,7596.35,EXPRESS
INV-03OAIWL,C97125,2024-04-26,17409.84,1740.98,19150.82,EXPRESS
INV-03OWJBA,C91097,2024-07-13,18213.49,1821.35,20034.84,EXPRESS
INV-03SATLR,C14175,2025-09-24,15596.26,1559.63,17155.89,EXPRESS
INV-03Y6QOX,C51553,2025-12-11,2260.1,113.0,2373.1,2DAY
INV-047YS10,C81739,2025-01-03,5029.24,0.0,5029.24,EXPRESS
INV-04G5RN4,C94929,2024-01-11,6286.22,502.9,6789.12,2DAY
INV-04JBJJ6,C87356,2025-08-30,7478.25,747.83,8226.08,EXPRESS
INV-04LBUL2,C17172,2024-04-26,4043.47,323.48,4366.95,GROUND
INV-04MK8E1,C72495,2025-12-25,4569.07,228.45,4797.52,GROUND
INV-04NIWOU,C29210,2024-06-29,19159.52,1532.76,20692.28,EXPRESS
INV-04NY82Y,C99808,2025-06-06,41117.83,4111.78,45229.61,FREIGHT
INV-04RRO5Y,C03366,2025-06-07,7601.37,380.07,7981.44,2DAY
INV-04SKWT0,C10456,2025-09-18,9425.74,471.29,9897.03,EXPRESS
INV-050OOLK,C17754,2024-01-18,4473.8,223.69,4697.49,GROUND
INV-057KMJG,C72495,2025-09-06,4323.79,345.9,4669.69,GROUND
INV-05BRSFZ,C57382,2024-12-08,7351.03,0.0,7351.03,EXPRESS
