client_id,client_name,status,created_at
C15499,Zenith Holdings,Active,2020-05-17
C64279,Green Logistics,Active,11/06/2022
C94929,Green Co,ACTIVE,"Nov 27, 2021"
C43677,Apex Group,inactive,05/24/2019
C97125,Blue Industries,Active,2021-09-14
C10456,Blue Partners,inactive,2023/11/03
C77726,Nimbus Holdings,Active,"Sep 25, 2021"
C63250,Vertex Supply,ACTIVE,2020-08-24
C16655,hooli co,ACTIVE,05/06/2021
C98672,Stark Freight,ACTIVE,"Apr 22, 2019"
C83350,Stark Group,active,2022-04-27
C33266,Hooli Enterprises,active,01-Oct-2023
C77577,Zenith Holdings,,16-Jul-2020
C84879, Umbrella Partners ,inactive,2020/08/23
C11386,Vector LLC,inactive,"Oct 11, 2023"
C22659,Tyrell Partners,active,12/15/2019
C25055,Stark Partners,Active,2021/01/14
C08929,Nimbus Industries,inactive,2021-09-28
C16180,Blue Enterprises,ACTIVE,10-May-2023
C94736, Red Logistics ,inactive,"Feb 25, 2022"
C49018,Green Freight,Active,2019-10-18
C60889,Wonka LLC,inactive,2021/09/20
C57382,Vector Logistics,inactive,2021/03/22
C24911,Quantum Freight,active,2019/12/28
C83948,Wayne Holdings,active,"Jan 03, 2019"
C91097,Tyrell Freight,inactive,26-Dec-2021
C82971,Massive Co,ACTIVE,"Jan 19, 2021"
C63096, Initech Freight ,ACTIVE,08/16/2019
C72495,Umbrella Enterprises,ACTIVE,2023/03/17
C70464,Hooli Supply,inactive,2019/09/30
C98399,Wayne Group,inactive,2023-02-16
C87356,Zenith Logistics,Active,12/22/2022
C80551,Vertex Partners,ACTIVE,2022/11/02
C97785,Massive Supply,inactive,2019/01/05
C29210,Massive Group,Active,"Apr 24, 2023"
C99808,Blue Co,Active,2022/06/15
C20405,Initech Supply,Active,2022/11/01
C51553,Hooli Logistics,Active,2019/10/16
C99892, Wayne Freight ,inactive,"Nov 17, 2019"
C47375,Vertex Partners,inactive,"Mar 15, 2023"
C14637,Hooli Supply,inactive,2019/02/03
C78191,Quantum Enterprises,active,2023-05-26
C73720, Massive LLC ,active,"Jul 18, 2022"
C86178,Massive Co,ACTIVE,2020-06-17
C15978,Vector Freight,inactive,08-Jan-2023
C14175,Wayne Group,ACTIVE,31-May-2020
C92842,Tyrell Industries,inactive,"Oct 08, 2021"
C02145,Zenith Supply,inactive,"Jun 07, 2023"
C03366,Umbrella Industries,Active,"Nov 15, 2021"
C81739,Massive Partners,inactive,10/01/2021
C93089, Blue Supply ,inactive,"Jun 27, 2022"
C56067,Hooli Logistics,inactive,2023-08-12
C35443,Nimbus Group,active,2021-08-19
C17172,Apex Freight,inactive,11-Jul-2023
C09581,Wonka Supply,ACTIVE,27-Jan-2019
C17754,Vector Co,ACTIVE,06/20/2022
C28306,Tyrell LLC,Active,23-May-2021
C21531,Green LLC,ACTIVE,2021-04-07
C86029,Acme Industries,inactive,12/02/2020
C34523,Stark Enterprises,Active,09/26/2019
C10456,Blue Partners,inactive,"Nov 03, 2023"
