id,name,tier,acct_open_date
C15499,Zenith Holdings,bronze,17-May-2020
C64279,Green Logistics,silver,06-Nov-2022
C94929,Green Co,bronze,27-Nov-2021
C43677,Apex Group,gold,24-May-2019
C97125,Blue Industries,bronze,14-Sep-2021
C10456,Blue Partners,bronze,03-Nov-2023
C77726,Nimbus Holdings,bronze,25-Sep-2021
C63250,Vertex Supply,bronze,24-Aug-2020
C16655,hooli co,silver,06-May-2021
C98672,Stark Freight,silver,22-Apr-2019
C83350,Stark Group,,27-Apr-2022
C33266,Hooli Enterprises,,01-Oct-2023
C77577,Zenith Holdings,,16-Jul-2020
C84879, Umbrella Partners ,silver,23-Aug-2020
C11386,Vector LLC,silver,11-Oct-2023
C22659,Tyrell Partners,gold,15-Dec-2019
C25055,Stark Partners,gold,14-Jan-2021
C08929,Nimbus Industries,bronze,28-Sep-2021
C16180,Blue Enterprises,bronze,10-May-2023
C94736, Red Logistics ,bronze,25-Feb-2022
C49018,Green Freight,silver,18-Oct-2019
C60889,Wonka LLC,gold,20-Sep-2021
C57382,Vector Logistics,bronze,22-Mar-2021
C24911,Quantum Freight,gold,28-Dec-2019
C83948,Wayne Holdings,silver,03-Jan-2019
C91097,Tyrell Freight,gold,26-Dec-2021
C82971,Massive Co,gold,19-Jan-2021
C63096, Initech Freight ,,16-Aug-2019
C72495,Umbrella Enterprises,bronze,17-Mar-2023
C70464,Hooli Supply,silver,30-Sep-2019
C98399,Wayne Group,bronze,16-Feb-2023
C87356,Zenith Logistics,,22-Dec-2022
C80551,Vertex Partners,,02-Nov-2022
C97785,Massive Supply,silver,05-Jan-2019
C29210,Massive Group,bronze,24-Apr-2023
C99808,Blue Co,,15-Jun-2022
C20405,Initech Supply,bronze,01-Nov-2022
C51553,Hooli Logistics,silver,16-Oct-2019
C99892, Wayne Freight ,silver,17-Nov-2019
C47375,Vertex Partners,,15-Mar-2023
C14637,Hooli Supply,bronze,03-Feb-2019
C78191,Quantum Enterprises,gold,26-May-2023
C73720, Massive LLC ,gold,18-Jul-2022
C86178,Massive Co,gold,17-Jun-2020
C15978,Vector Freight,gold,08-Jan-2023
C14175,Wayne Group,silver,31-May-2020
C92842,Tyrell Industries,bronze,08-Oct-2021
C02145,Zenith Supply,gold,07-Jun-2023
C03366,Umbrella Industries,gold,15-Nov-2021
C81739,Massive Partners,silver,01-Oct-2021
C93089, Blue Supply ,gold,27-Jun-2022
C56067,Hooli Logistics,,12-Aug-2023
C35443,Nimbus Group,silver,19-Aug-2021
C17172,Apex Freight,gold,11-Jul-2023
C09581,Wonka Supply,,27-Jan-2019
C17754,Vector Co,,20-Jun-2022
C28306,Tyrell LLC,bronze,23-May-2021
C21531,Green LLC,gold,07-Apr-2021
C86029,Acme Industries,bronze,02-Dec-2020
C34523,Stark Enterprises,bronze,26-Sep-2019
C10456,Blue Partners,silver,03-Nov-2023
