invoice_id,client_id,invoice_date,amount,currency,shipment_type
INV-ITBHR2P,C10456,2025-05-22,5235.33,USD,2DAY
INV-LWC0YM6,C16655,2024-04-19,3015.04,USD,GROUND
INV-7TDN2MF,C63096,"Jul 28, 2025",3023.94,USD,GROUND
INV-N9Z2HI7,C15499,2025/05/30,3253.71,USD,GROUND
INV-M8ZSF57,C93089,07/14/2024,3526.16,USD,GROUND
INV-XZKWR2E,C28306,21-May-2024,15705.97,USD,EXPRESS
INV-F6OLIH0,C82971,10/25/2025,1836.3,USD,GROUND
INV-MCL1TR5,C16655,2024-12-12,1366.67,USD,GROUND
INV-4OJ4938,C15499,2024-04-24,8828.12,USD,2DAY
INV-CKPLFX5,C08929,"Apr 16, 2024",2320.31,USD,GROUND
INV-Q55TURK,C94736,02-Mar-2024,1617.11,USD,GROUND
INV-CDSUECO,C24911,2024/11/04,3018.14,USD,2DAY
INV-TPAJJXF,C24911,30-Jun-2025,4058.26,USD,GROUND
INV-KRM7BGK,C08929,2025/11/21,4326.79,USD,GROUND
INV-B5DBHVB,C11386,2025/04/04,2638.4,USD,GROUND
INV-FEW70F5,C82971,11/26/2025,13842.53,USD,EXPRESS
INV-KH8J809,C47375,06/30/2024,7684.59,USD,EXPRESS
INV-RTKWQID,C82971,2024/02/28,23541.83,USD,FREIGHT
INV-QRUST59,C29210,2025-08-31,3875.76,USD,GROUND
INV-COOI7RL,C14637,2025/03/22,6546.31,USD,EXPRESS
INV-KBM0FWJ,C81739,"Jul 09, 2024",4225.13,USD,GROUND
INV-HR7W025,C08929,2024/10/25,1291.18,USD,GROUND
INV-NTFAO4K,C09581,09/10/2024,11599.69,USD,EXPRESS
INV-LFSVGXK,C03366,"Feb 21, 2024",1607.48,USD,GROUND
INV-SLB8R53,C77577,"Oct 11, 2025",8082.52,USD,2DAY
INV-S5FYDGJ,C14637,08-Jan-2024,7886.51,USD,2DAY
INV-0MYCR7S,C72495,2025/06/18,2215.99,USD,2DAY
INV-XOXON9Y,C47375,03-Dec-2025,1596.53,USD,GROUND
INV-GOLWTLA,C60889,2025-09-05,18190.42,USD,FREIGHT
INV-E3XNL69,C28306,08-Jan-2024,6831.23,USD,2DAY
INV-66GDL9A,C16655,"Nov 26, 2025",2484.28,USD,GROUND
INV-T09ODOM,C22659,2025-07-30,2973.6,USD,GROUND
INV-GAT69X6,C60889,10-Oct-2025,11868.88,USD,EXPRESS
INV-0CHWXRH,C86029,02-Nov-2024,49801.63,USD,FREIGHT
INV-H46K3W7,C78191,22-Jan-2025,4055.89,USD,2DAY
INV-TP35DPS,C15978,01/31/2024,15843.26,USD,EXPRESS
INV-OL3RBYJ,C03366,2025/05/30,34804.31,USD,FREIGHT
INV-P8N2ZL4,C34523,16-Dec-2024,7156.13,USD,EXPRESS
INV-N74XIWO,C93089,06-Apr-2024,12852.93,USD,EXPRESS
INV-1IWWP82,C15978,01/08/2025,2512.54,USD,2DAY
INV-6FTUU4J,C33266,"Sep 11, 2025",6592.44,USD,2DAY
INV-ST59EI4,C60889,2025-05-28,13480.92,USD,EXPRESS
INV-1ROX55E,C57382,02/17/2024,12689.06,USD,EXPRESS
INV-K11QKGY,C47375,"Oct 11, 2024",8522.66,USD,2DAY
INV-HNUA1JA,C14637,05-Feb-2024,1928.19,USD,GROUND
INV-T3WJ8JZ,C16655,01/22/2025,2611.25,USD,2DAY
INV-X86PYYR,C21531,"Mar 26, 2025",16995.52,USD,EXPRESS
INV-5RCS8FE,C78191,2025-10-25,19399.63,USD,EXPRESS
INV-B9GSDTX,C83350,31-Jan-2024,15702.11,USD,EXPRESS
INV-MQC3K1Q,C43677,2024-07-23,7632.08,USD,2DAY
INV-2ESXYZT,C47375,10-Nov-2025,7704.47,USD,2DAY
INV-6NEH6AU,C20405,2024/12/07,1123.82,USD,GROUND
