inv_no,customer_key,inv_dt,subtotal,tax,total,curr,ship_type
INV-ITBHR2P,C10456,05/22/2025,5235.33,418.83,5654.16,USD,2DAY
INV-LWC0YM6,C16655,04/19/2024,3015.04,150.75,3165.79,USD,GROUND
INV-7TDN2MF,C63096,07/28/2025,3023.94,302.39,3326.33,USD,GROUND
INV-N9Z2HI7,C15499,05/30/2025,3253.71,260.3,3514.01,USD,GROUND
INV-M8ZSF57,C93089,07/14/2024,3526.16,176.31,3702.47,USD,GROUND
INV-XZKWR2E,C28306,05/21/2024,15705.97,1570.6,17276.57,USD,EXPRESS
INV-F6OLIH0,C82971,10/25/2025,1836.3,146.9,1983.2,USD,GROUND
INV-MCL1TR5,C16655,12/12/2024,1366.67,68.33,1435.0,USD,GROUND
INV-4OJ4938,C15499,04/24/2024,8828.12,0.0,8828.12,USD,2DAY
INV-CKPLFX5,C08929,04/16/2024,2320.31,0.0,2320.31,USD,GROUND
INV-Q55TURK,C94736,03/02/2024,1617.11,0.0,1617.11,USD,GROUND
INV-CDSUECO,C24911,11/04/2024,3018.14,0.0,3018.14,USD,2DAY
INV-TPAJJXF,C24911,06/30/2025,4058.26,405.83,4464.09,USD,GROUND
INV-KRM7BGK,C08929,11/21/2025,4326.79,432.68,4759.47,USD,GROUND
INV-B5DBHVB,C11386,04/04/2025,2638.4,211.07,2849.47,USD,GROUND
INV-FEW70F5,C82971,11/26/2025,13842.53,692.13,14534.66,USD,EXPRESS
INV-KH8J809,C47375,06/30/2024,7684.59,384.23,8068.82,USD,EXPRESS
INV-RTKWQID,C82971,02/28/2024,23541.83,2354.18,25896.01,USD,FREIGHT
INV-QRUST59,C29210,08/31/2025,3875.76,310.06,4185.82,USD,GROUND
INV-COOI7RL,C14637,03/22/2025,6546.31,654.63,7200.94,USD,EXPRESS
INV-KBM0FWJ,C81739,07/09/2024,4225.13,0.0,4225.13,USD,GROUND
INV-HR7W025,C08929,10/25/2024,1291.18,0.0,1291.18,USD,GROUND
INV-NTFAO4K,C09581,09/10/2024,11599.69,1159.97,12759.66,USD,EXPRESS
INV-LFSVGXK,C03366,02/21/2024,1607.48,160.75,1768.23,USD,GROUND
INV-SLB8R53,C77577,10/11/2025,8082.52,808.25,8890.77,USD,2DAY
INV-S5FYDGJ,C14637,01/08/2024,7886.51,630.92,8517.43,USD,2DAY
INV-0MYCR7S,C72495,06/18/2025,2215.99,177.28,2393.27,USD,2DAY
INV-XOXON9Y,C47375,12/03/2025,1596.53,127.72,1724.25,USD,GROUND
INV-GOLWTLA,C60889,09/05/2025,18190.42,0.0,18190.42,USD,FREIGHT
INV-E3XNL69,C28306,01/08/2024,6831.23,683.12,7514.35,USD,2DAY
INV-66GDL9A,C16655,11/26/2025,2484.28,248.43,2732.71,USD,GROUND
INV-T09ODOM,C22659,07/30/2025,2973.6,237.89,3211.49,USD,GROUND
INV-GAT69X6,C60889,10/10/2025,11868.88,0.0,11868.88,USD,EXPRESS
INV-0CHWXRH,C86029,11/02/2024,49801.63,0.0,49801.63,USD,FREIGHT
INV-H46K3W7,C78191,01/22/2025,4055.89,405.59,4461.48,USD,2DAY
INV-TP35DPS,C15978,01/31/2024,15843.26,0.0,15843.26,USD,EXPRESS
INV-OL3RBYJ,C03366,05/30/2025,34804.31,3480.43,38284.74,USD,FREIGHT
INV-P8N2ZL4,C34523,12/16/2024,7156.13,0.0,7156.13,USD,EXPRESS
INV-N74XIWO,C93089,04/06/2024,12852.93,1028.23,13881.16,USD,EXPRESS
INV-1IWWP82,C15978,01/08/2025,2512.54,0.0,2512.54,USD,2DAY
INV-6FTUU4J,C33266,09/11/2025,6592.44,527.4,7119.84,USD,2DAY
INV-ST59EI4,C60889,05/28/2025,13480.92,1078.47,14559.39,USD,EXPRESS
INV-1ROX55E,C57382,02/17/2024,12689.06,1268.91,13957.97,USD,EXPRESS
