invoice_uid,client_ref,issued_on,amount_usd,shipment_category
INV-ITBHR2P,BLUE PARTNERS,"May 22, 2025",5654.16,2DAY
INV-LWC0YM6,HOOLI CO,2024-04-19,3165.79,GROUND
INV-7TDN2MF, INITECH FREIGHT ,28-Jul-2025,3326.33,GROUND
INV-N9Z2HI7,ZENITH HOLDINGS,05/30/2025,3514.01,GROUND
INV-M8ZSF57, BLUE SUPPLY ,14-Jul-2024,3702.47,GROUND
INV-XZKWR2E,TYRELL LLC,2024/05/21,17276.57,EXPRESS
INV-F6OLIH0,MASSIVE CO,2025-10-25,1983.2,GROUND
INV-MCL1TR5,HOOLI CO,2024/12/12,1435.0,GROUND
INV-4OJ4938,ZENITH HOLDINGS,24-Apr-2024,8828.12,2DAY
INV-CKPLFX5,NIMBUS INDUSTRIES,2024-04-16,2320.31,GROUND
INV-Q55TURK, RED LOGISTICS ,"Mar 02, 2024",1617.11,GROUND
INV-CDSUECO,QUANTUM FREIGHT,04-Nov-2024,3018.14,2DAY
INV-TPAJJXF,QUANTUM FREIGHT,2025-06-30,4464.09,GROUND
INV-KRM7BGK,NIMBUS INDUSTRIES,2025/11/21,4759.47,GROUND
INV-B5DBHVB,VECTOR LLC,"Apr 04, 2025",2849.47,GROUND
INV-FEW70F5,MASSIVE CO,2025-11-26,14534.66,EXPRESS
INV-KH8J809,VERTEX PARTNERS,"Jun 30, 2024",8068.82,EXPRESS
INV-RTKWQID,MASSIVE CO,"Feb 28, 2024",25896.01,FREIGHT
INV-QRUST59,MASSIVE GROUP,2025-08-31,4185.82,GROUND
INV-COOI7RL,HOOLI SUPPLY,"Mar 22, 2025",7200.94,EXPRESS
INV-KBM0FWJ,MASSIVE PARTNERS,07/09/2024,4225.13,GROUND
INV-HR7W025,NIMBUS INDUSTRIES,"Oct 25, 2024",1291.18,GROUND
INV-NTFAO4K,WONKA SUPPLY,2024/09/10,12759.66,EXPRESS
INV-LFSVGXK,UMBRELLA INDUSTRIES,"Feb 21, 2024",1768.23,GROUND
INV-SLB8R53,ZENITH HOLDINGS,11-Oct-2025,8890.77,2DAY
INV-S5FYDGJ,HOOLI SUPPLY,"Jan 08, 2024",8517.43,2DAY
INV-0MYCR7S,UMBRELLA ENTERPRISES,2025-06-18,2393.27,2DAY
INV-XOXON9Y,VERTEX PARTNERS,12/03/2025,1724.25,GROUND
INV-GOLWTLA,WONKA LLC,2025-09-05,18190.42,FREIGHT
INV-E3XNL69,TYRELL LLC,01/08/2024,7514.35,2DAY
INV-66GDL9A,HOOLI CO,11/26/2025,2732.71,GROUND
INV-T09ODOM,TYRELL PARTNERS,2025/07/30,3211.49,GROUND
INV-GAT69X6,WONKA LLC,"Oct 10, 2025",11868.88,EXPRESS
INV-0CHWXRH,ACME INDUSTRIES,2024-11-02,49801.63,FREIGHT
INV-H46K3W7,QUANTUM ENTERPRISES,22-Jan-2025,4461.48,2DAY
INV-TP35DPS,VECTOR FREIGHT,2024-01-31,15843.26,EXPRESS
INV-OL3RBYJ,UMBRELLA INDUSTRIES,2025-05-30,38284.74,FREIGHT
INV-P8N2ZL4,STARK ENTERPRISES,12/16/2024,7156.13,EXPRESS
INV-N74XIWO, BLUE SUPPLY ,"Apr 06, 2024",13881.16,EXPRESS
INV-1IWWP82,VECTOR FREIGHT,2025-01-08,2512.54,2DAY
INV-6FTUU4J,HOOLI ENTERPRISES,"Sep 11, 2025",7119.84,2DAY
INV-ST59EI4,WONKA LLC,2025-05-28,14559.39,EXPRESS
INV-1ROX55E,VECTOR LOGISTICS,02/17/2024,13957.97,EXPRESS
INV-K11QKGY,VERTEX PARTNERS,11-Oct-2024,9204.47,2DAY
INV-HNUA1JA,HOOLI SUPPLY,"Feb 05, 2024",2121.01,GROUND
INV-T3WJ8JZ,HOOLI CO,22-Jan-2025,2741.81,2DAY
INV-X86PYYR,GREEN LLC,03/26/2025,16995.52,EXPRESS
INV-5RCS8FE,QUANTUM ENTERPRISES,25-Oct-2025,19399.63,EXPRESS
INV-B9GSDTX,STARK GROUP,2024/01/31,16487.22,EXPRESS
INV-MQC3K1Q,APEX GROUP,23-Jul-2024,8013.68,2DAY
INV-2ESXYZT,VERTEX PARTNERS,2025-11-10,7704.47,2DAY
INV-6NEH6AU,INITECH SUPPLY,12/07/2024,1180.01,GROUND
INV-M6RPHGX,NIMBUS INDUSTRIES,08/08/2024,5187.04,EXPRESS
INV-3CT0BUN,HOOLI LOGISTICS,2025/07/13,4347.5,GROUND
INV-EVKSSOX,HOOLI LOGISTICS,2024-02-28,2970.45,GROUND
INV-A0LNZHO,STARK GROUP,12-Nov-2024,2614.11,GROUND
INV-P5K2EHN, MASSIVE LLC ,12-Sep-2024,9373.52,2DAY
INV-72KNU70, RED LOGISTICS ,25-Nov-2024,1678.76,GROUND
INV-05BRSFZ,VECTOR LOGISTICS,2024-12-08,7351.03,EXPRESS
INV-W1ENXKY,WAYNE GROUP,"Mar 30, 2024",47834.19,FREIGHT
INV-BILRDVB,VECTOR LLC,"Feb 27, 2024",3637.18,GROUND
INV-ALS2Z57,HOOLI SUPPLY,05/27/2024,8292.62,EXPRESS
INV-M1JFBC9,BLUE INDUSTRIES,12/14/2025,8082.54,2DAY
INV-BFQRA1O,ZENITH HOLDINGS,"Jul 16, 2024",20735.82,EXPRESS
INV-2W29U72,VERTEX SUPPLY,2025/01/30,1573.47,GROUND
INV-ZASZ8ZI,HOOLI SUPPLY,16-Apr-2025,3645.07,GROUND
INV-Y8NVAEK,HOOLI CO,2025-04-19,1254.17,GROUND
INV-6WTJV9T,GREEN LOGISTICS,02-Sep-2024,21265.38,EXPRESS
INV-FQNX9RW, WAYNE FREIGHT ,2024/05/28,15899.79,EXPRESS
INV-BEDYV6Y,GREEN LOGISTICS,2025-06-26,3007.4,GROUND
INV-R37PT5J,WAYNE GROUP,11-Mar-2024,4060.4,GROUND
INV-QXIH0IH,BLUE ENTERPRISES,11/13/2024,3674.64,GROUND
INV-L3H62ED,MASSIVE GROUP,2025-04-09,4742.12,2DAY
INV-M1KPRR7,HOOLI LOGISTICS,2024-01-16,2809.75,GROUND
INV-JKTC94R,QUANTUM ENTERPRISES,03-Mar-2024,19856.67,FREIGHT
INV-49YBK1O, BLUE SUPPLY ,09-Aug-2025,3583.66,GROUND
INV-MHDHALG,MASSIVE SUPPLY,21-Aug-2025,3002.04,GROUND
INV-BQHZYEG,ZENITH HOLDINGS,"Jun 29, 2025",8233.02,EXPRESS
INV-XXUVA1Z, UMBRELLA PARTNERS ,07/26/2024,1049.82,GROUND
INV-1BNFTP4,WONKA LLC,"Mar 06, 2025",4034.42,GROUND
INV-JG02PVM,GREEN LLC,09/02/2024,10458.65,2DAY
INV-W04NO5V,WAYNE HOLDINGS,2025-07-17,15717.96,EXPRESS
INV-2C99UN4,STARK PARTNERS,02/03/2025,3675.38,GROUND
INV-S47V0EN,HOOLI SUPPLY,05/31/2025,4892.5,GROUND
